artist,track_name,track_url,album_name,album_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,genre,preview
Loscil,Nautilus,https://api.spotify.com/v1/tracks/6M1n0onj8W6gxlX4XGztXn,Submers,https://api.spotify.com/v1/albums/5Z0IHaFT9sULX0S7b1jmcd,0.652,0.045,2,-19.813,1,0.036,0.737,0.918,0.112,0.0362,80.001,audio_features,6M1n0onj8W6gxlX4XGztXn,421547,4,ambient,https://p.scdn.co/mp3-preview/7b7371cb2a178f27845ab72aea08eeab78a7e734?cid=fc235f8b650243338f2957a048e88a50
William Basinski,Melancholia V,https://api.spotify.com/v1/tracks/5SMhdEiclX6RCEw1mVxsEQ,Melancholia,https://api.spotify.com/v1/albums/2mDwgIyil7jUI192RqJ1Lm,0.173,0.00748,5,-42.457,1,0.0396,0.993,0.947,0.0794,0.0354,66.306,audio_features,5SMhdEiclX6RCEw1mVxsEQ,72853,3,ambient,https://p.scdn.co/mp3-preview/05464121c9d5c5507c4c07cc1dc7e545d89108bf?cid=fc235f8b650243338f2957a048e88a50
"Masayoshi Fujita, Jan Jelinek",What You Should Know About Me,https://api.spotify.com/v1/tracks/1cF3clJ3bRe9YhOtNYjErr,Schaum,https://api.spotify.com/v1/albums/58F8DIOgoFQoY112kj6sLP,0.305,0.43,7,-17.718,0,0.0565,0.535,0.921,0.126,0.136,138.752,audio_features,1cF3clJ3bRe9YhOtNYjErr,227554,1,ambient,https://p.scdn.co/mp3-preview/42497bd6d63037d125e538cab66fb0846f185a6e?cid=fc235f8b650243338f2957a048e88a50
Balmorhea,Truth (Helios Remix),https://api.spotify.com/v1/tracks/0xdPDJMJ5xYByIrSH2aKA4,"All Is Wild, All Is Silent Remixes",https://api.spotify.com/v1/albums/6BAlj8bSDtus5K8qksVkS7,0.445,0.459,9,-15.791,1,0.0415,0.84,0.95,0.107,0.136,126.106,audio_features,0xdPDJMJ5xYByIrSH2aKA4,225480,4,bow pop,https://p.scdn.co/mp3-preview/5bec1f8fbaf39d74c1f5748d7f4acbf95100ce72?cid=fc235f8b650243338f2957a048e88a50
Otto Totland,Solêr,https://api.spotify.com/v1/tracks/3SsXxuvEu20CnDg7LUNFDY,Pinô,https://api.spotify.com/v1/albums/7uPWpTHYqHEQTpZIlgELQK,0.333,0.0634,3,-26.645,0,0.0516,0.994,0.927,0.136,0.434,168.232,audio_features,3SsXxuvEu20CnDg7LUNFDY,155880,4,ambient,https://p.scdn.co/mp3-preview/05de43130c6b745f6374ec3f5edcd3c2ee787998?cid=fc235f8b650243338f2957a048e88a50
Max Richter,The Departure - Persistence of Vision,https://api.spotify.com/v1/tracks/0WUJFeQIVPI9Mi7QBZtExs,The Leftovers (Music from the HBO® Series) Season 2,https://api.spotify.com/v1/albums/4iEVCVnyJVcKMYFSmuaGEt,0.266,0.0256,0,-33.325,0,0.0439,0.996,0.929,0.0944,0.0902,72.702,audio_features,0WUJFeQIVPI9Mi7QBZtExs,109592,4,ambient,https://p.scdn.co/mp3-preview/664f1bda3190499a013afa7f7c2ac0170da0a2d6?cid=fc235f8b650243338f2957a048e88a50
The Dead Texan,A Chronicle of Early Failures - Part 2,https://api.spotify.com/v1/tracks/3lOKW6po9WXDidfTxRZROT,The Dead Texan,https://api.spotify.com/v1/albums/55mLyioYUt6V3TxkFObTEo,0.14,0.0858,9,-22.846,1,0.0412,0.946,0.879,0.102,0.0328,102,audio_features,3lOKW6po9WXDidfTxRZROT,347707,4,ambient,https://p.scdn.co/mp3-preview/fae27c6e16199286dae510bef8d6a6f622fcc938?cid=fc235f8b650243338f2957a048e88a50
Nils Frahm,La,https://api.spotify.com/v1/tracks/5zRjeZL6xjT6f7c8dkHqrB,Screws,https://api.spotify.com/v1/albums/2EaigzcT1RHV3ILasIOfJz,0.327,0.0475,11,-24.769,1,0.066,0.985,0.878,0.137,0.116,80.589,audio_features,5zRjeZL6xjT6f7c8dkHqrB,190405,3,ambient,https://p.scdn.co/mp3-preview/36f4638939db8667bc3cb281000e16749f8fc12a?cid=fc235f8b650243338f2957a048e88a50
Grouper,When We Fall,https://api.spotify.com/v1/tracks/7gePpUawLnGf1l1fnltiIR,Dragging a Dead Deer Up a Hill,https://api.spotify.com/v1/albums/0r1ffFQRFvtthTdLV2ZPWL,0.251,0.248,2,-19.181,1,0.0398,0.974,0.921,0.109,0.0641,65.732,audio_features,7gePpUawLnGf1l1fnltiIR,127680,4,ambient,https://p.scdn.co/mp3-preview/06b1a23b18c78aa5fe6473b80838939cb60ab574?cid=fc235f8b650243338f2957a048e88a50
A Winged Victory for the Sullen,Steep Hills of Vicodin Tears,https://api.spotify.com/v1/tracks/3ytUgxZj1EYHb8zlk5VKk6,A Winged Victory for the Sullen,https://api.spotify.com/v1/albums/6vygseD1InhHomosteUnPU,0.0804,0.0836,11,-21.007,1,0.04,0.767,0.853,0.119,0.0456,82.14,audio_features,3ytUgxZj1EYHb8zlk5VKk6,266840,3,ambient,https://p.scdn.co/mp3-preview/a6afc14c067a7ce62d339a7dc230dfa4f7b48bcb?cid=fc235f8b650243338f2957a048e88a50
